               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10709,           0.0084976,            0.035879,             0.46187,             0.18509,            0.098556,            0.034426,            0.077516,           0.0066502,            0.026924,            0.070014,           0.0033318,           0.0033318
                   1,            0.087508,           0.0067566,            0.022152,             0.54412,             0.22574,             0.19592,            0.073326,            0.073244,           0.0061101,             0.02043,            0.039794,           0.0064452,           0.0064452
                   2,            0.085573,           0.0065847,              0.0194,             0.67254,             0.21635,             0.20334,            0.076222,             0.07452,           0.0065644,            0.019583,           0.0093541,           0.0093385,           0.0093385
                   3,             0.08307,            0.006613,            0.017473,             0.69741,              0.2445,             0.25268,             0.10327,            0.070634,           0.0062639,            0.018068,             0.00901,             0.00901,             0.00901
                   4,            0.077928,           0.0065341,            0.014178,             0.75616,              0.2749,             0.33014,             0.14277,            0.066776,           0.0061613,            0.015912,             0.00901,             0.00901,             0.00901
                   5,            0.074035,           0.0063954,            0.012565,             0.71226,             0.36375,              0.3973,             0.17668,            0.064966,           0.0059765,            0.015515,             0.00868,             0.00868,             0.00868
                   6,            0.072376,           0.0062817,            0.011582,             0.73997,             0.37648,             0.41557,             0.18172,            0.063929,           0.0057922,            0.014533,             0.00835,             0.00835,             0.00835
                   7,            0.070507,           0.0061372,            0.010186,             0.75545,             0.39951,             0.44115,              0.2009,            0.062181,           0.0057421,              0.0138,             0.00802,             0.00802,             0.00802
                   8,            0.068566,           0.0060303,            0.009463,             0.76069,             0.44333,             0.46773,             0.21773,            0.060781,           0.0056852,            0.013525,             0.00769,             0.00769,             0.00769
                   9,            0.067085,           0.0059907,           0.0085975,             0.78353,             0.44592,             0.47533,             0.22604,            0.060461,           0.0055668,            0.013362,             0.00736,             0.00736,             0.00736
                  10,            0.066127,           0.0059511,           0.0081535,             0.79122,             0.45653,             0.48118,             0.22759,            0.059541,           0.0055839,            0.013392,             0.00703,             0.00703,             0.00703
                  11,            0.065623,           0.0058609,           0.0080225,             0.78816,             0.45681,             0.48866,             0.23519,            0.059258,           0.0056037,            0.012592,              0.0067,              0.0067,              0.0067
                  12,            0.064594,           0.0057774,           0.0075866,             0.80751,             0.45748,             0.49879,              0.2451,            0.058231,            0.005557,            0.012461,             0.00637,             0.00637,             0.00637
                  13,            0.064001,            0.005738,           0.0072874,             0.79866,             0.48614,             0.51392,             0.25025,            0.057982,           0.0055114,            0.012281,             0.00604,             0.00604,             0.00604
                  14,            0.063092,           0.0057398,           0.0065748,             0.79464,             0.48046,             0.50949,             0.24974,            0.057687,           0.0054723,            0.012655,             0.00571,             0.00571,             0.00571
                  15,             0.06234,           0.0056426,           0.0063331,             0.80216,             0.49069,             0.51536,             0.25651,            0.057423,           0.0055178,            0.012005,             0.00538,             0.00538,             0.00538
                  16,            0.061429,           0.0056005,           0.0060725,             0.82409,             0.48931,             0.52908,             0.26328,            0.057154,           0.0054326,            0.012099,             0.00505,             0.00505,             0.00505
                  17,            0.060881,           0.0055554,           0.0057975,             0.81701,             0.48968,             0.52744,             0.26445,            0.056955,           0.0054226,            0.012143,             0.00472,             0.00472,             0.00472
                  18,            0.060431,           0.0055286,           0.0057456,             0.81043,             0.49008,             0.52615,             0.26592,             0.05651,             0.00541,            0.012466,             0.00439,             0.00439,             0.00439
                  19,            0.059522,           0.0055042,           0.0053465,             0.82266,             0.48796,             0.52798,             0.26731,            0.056305,           0.0053948,            0.012387,             0.00406,             0.00406,             0.00406
                  20,            0.059022,           0.0054436,           0.0051981,             0.81414,             0.50112,             0.53293,             0.26878,            0.056012,           0.0053834,            0.012454,             0.00373,             0.00373,             0.00373
                  21,            0.058543,           0.0054074,           0.0050984,             0.81005,             0.50425,             0.53405,             0.26866,            0.055941,           0.0053828,            0.012463,              0.0034,              0.0034,              0.0034
                  22,            0.058139,           0.0053513,           0.0050345,             0.81368,             0.50419,             0.53673,             0.27103,            0.055816,           0.0053794,            0.012395,             0.00307,             0.00307,             0.00307
                  23,            0.057134,            0.005272,           0.0045272,             0.82621,             0.50183,             0.54176,             0.27384,            0.055664,             0.00537,            0.012255,             0.00274,             0.00274,             0.00274
                  24,            0.056477,           0.0052026,           0.0045163,             0.83676,             0.49885,             0.54486,             0.27549,            0.055553,            0.005367,            0.012057,             0.00241,             0.00241,             0.00241
                  25,            0.055957,           0.0052304,           0.0041421,             0.83023,             0.50357,             0.54613,             0.27767,            0.055479,           0.0053565,            0.011998,             0.00208,             0.00208,             0.00208
                  26,            0.055151,           0.0051354,           0.0040533,              0.8236,             0.50614,             0.54792,             0.27996,            0.055382,           0.0053519,            0.012048,             0.00175,             0.00175,             0.00175
                  27,             0.05508,           0.0051261,           0.0041576,             0.82248,             0.50598,             0.54836,             0.28076,            0.055298,           0.0053483,            0.012074,             0.00142,             0.00142,             0.00142
                  28,            0.054159,           0.0050994,           0.0036629,             0.81898,             0.50976,             0.54915,             0.28167,            0.055252,           0.0053439,            0.012053,             0.00109,             0.00109,             0.00109
                  29,            0.053783,           0.0050171,           0.0035169,             0.82927,             0.50226,              0.5494,             0.28196,            0.055216,           0.0053466,            0.012032,             0.00076,             0.00076,             0.00076
